,comments
944,吃鸭子还是广东人最会吃
945,12
946,卧槽，香啊
947,蔡徐坤也会做
948,所以是
949,正
950,12
951,你再骂
952,起风了
953,就怕喊一句：宁志
954,收徒吗
955,鸡： I'm on the next level
956,打关斗
957,做不了
958,耶
959,小黑子树枝666（dogo）
960,你干嘛～
961,你干嘛~哎呦
962,你干嘛~哎呦
963,你干嘛~哎呦~
964,我搜到了
965,12
966,你干嘛~
967,劝退劝退
968,108道不同鸡的做法之外援篇
969,要是马上失传的化，把配方上交国家吧，不然就真失传了
970,有靓女
971,只要会打篮球的鸡就行
972,合影
973,探店齁鼻多  真假厨子说（doge）
974,你说的是，你怎么这么笨啊
975,我是来学粤语
976,这不跟我这边做鸭差不饿8
977,你干嘛 哎呀
978,你干嘛~哈哈呦
979,好吃的话为什么会失传？？
980,知道柱候酱既基本都系广府人，用来整牛腩
981,太咸了这个酱
982,合影
983,小鸡子，露出黑脚了吧
984,鸡：听我说谢谢你，因为有你，温暖了死鸡……
985,12
986,根本听不懂
987,这说的是哪里的话
988,我吃过，十分好吃，甚至九分好吃
989,可惜不入味
990,蠢
991,什么下个版本sp
992,@绵羊料理 大姨大姨A货工厂来活了！
993,你知道我要说什么
994,看着好香啊！
995,“哟，这不乐哥吗。几天没见，还是吃鸡呀？
996,我喜欢这个粤语老
997,nb 
998,麟宣森：“嗯…”
999,大碗拿铁：“嗯…”
1000,丢你，闹我两次
1001,梦回广东南方电视台（好像是这样叫吧）
1002,你知道我要说什么
1003,真的很麻烦
1004,12
1005,骨头都带媚
1006,一只鸡不可能只给一个人吃吧
1007,白话就没有骂人的严格来说
1008,吴签和坤坤搞一起了（不是）
1009,哈哈哈
1010,会唱跳 rap 打篮球的
1011,gay？
1012,香啊，很香啊
1013,收藏从未停止，实践从未开始
1014,想吃
1015,一直盯着字幕才能看的你好狠狈(doge
1016,pie~pie~
1017,算了，还是不找儿时的味道了
1018,哎呀，这不塔菲吗
1019,新年快乐
1020,为什么这个字幕有3D效果
1021,舰长
1022,两斤半的鸡可不可以？
1023,韩国：这是我们韩国滴，韩式口福鸡
1024,黑猫；嗯？∽
1025,烧！！！！！
1026,你知道我要说什么了吧！jpg
1027,弃鸡食酱
1028,我超
1029,12
1030,现在没吃的调料包都偷笑了
1031,不就是三黄鸡吗
1032,1.2
1033,猴赛雷啊
1034,厨子不偷，五谷不收（doge）
1035,《收藏从未停止，实验从未开始》
1036,你干嘛~哎呀~
1037,你干嘛~哎呦喂
1038,你干嘛~哈哈。
1039,他在试图教会我
1040,合影
1041,看饿了
1042,pie～pie～
