title,view_num,danmu,upload_time,up_author,video_url
越秀二十多年的实惠街坊粤菜，招牌脆皮大肠堪称经典，菜价平均三四十平靓正到家,12.3万,,2022/3/30,毛毛美食指南,www.bilibili.com/video/BV1TZ4y1z7XJ?from=search
广东粤菜经典酱油鸡，记住这个做法，皮爽肉滑鲜香入味，简单家常,3.6万,,2021/11/4,尬瓜美食厨房,www.bilibili.com/video/BV1g44y1i7uu?from=search
大厨分享粤菜“XO酱海皇粉丝煲”一看就会、非常简单,14.7万,,2019/6/30,主厨农国栋,www.bilibili.com/video/BV1Nx411R7My?from=search
粤菜-豉汁啫啫粉肠煲，粤港澳惹味家常菜。喜欢吃的真的可以试一试！,9.6万,,2022/3/15,澳门厨房佬,www.bilibili.com/video/BV1JS4y1D7kp?from=search
【大师的菜·叉烧包】粤菜“点心四宝”之王—叉烧包，粤菜大厨教你做，早茶必备！,23.6万,,2019/11/1,大师的菜,www.bilibili.com/video/BV1iE411879o?from=search
【品城记in深圳】在深圳做了半年节目，这家店被姚大秋认证为最好吃的粤菜馆！,11.1万,,2019/3/29,品城记Video,www.bilibili.com/video/BV1yb411x7Q5?from=search
来上海不吃本帮菜，粤菜才是真一绝！,11.0万,,2021/8/9,本人曲献平,www.bilibili.com/video/BV1sb4y1z7VP?from=search
【品城记】爱了！这家粤菜就是广东人熟悉的味道！姜油浸蛙真的特别！,17.8万,,2023/1/27,品城记本地版,www.bilibili.com/video/BV1q84y177Wr?from=search
粤菜啫啫鸡煲大家经常去外面都喜欢点来吃，在家用电饭煲就能做了，很下饭！,12.2万,,2021/9/26,澳门厨房佬,www.bilibili.com/video/BV1uL411471w?from=search
粤菜白灼鲍鱼，年夜菜的第三道菜来了，年夜饭少不了的鲍鱼，简单的做法就很鲜味了！,8.0万,,2022/1/3,澳门厨房佬,www.bilibili.com/video/BV1gS4y1T7cS?from=search
被誉为天下第一菜的“佛跳墙”，粤菜师傅用15天时间炮制而成,562.8万,,2019/7/21,主厨农国栋,www.bilibili.com/video/BV1qt411E7Wb?from=search
广东名菜《啫啫煲》新东方教不了粤菜的原因，根本没有这等魄力,4.9万,,2021/11/15,宇宙在手命不由天,www.bilibili.com/video/BV1wL4y1i7y6?from=search
那些接地气的粤菜老广饭堂，我的广州美食地图，第三集。,25.7万,,2023/1/20,NAV看广州B站版,www.bilibili.com/video/BV1Dd4y1p75s?from=search
在家就可以复刻粤菜经典菜式咸鱼茄子煲，超级下饭又美味，不要一锅油也不要水汪汪,8.3万,,2023/5/25,小喵粑粑,www.bilibili.com/video/BV1Rs4y1q7aH?from=search
手把手教你做，粤菜万能豉油皇，豉油皇在手，让你秒变粤菜大厨,3.0万,,2023/7/11,Amy爱你的每一天,www.bilibili.com/video/BV1sh4y1Z7PW?from=search
N刷鉴定天河最平靓正的街坊粤菜馆，菜式出品传统地道且量大价平，真的是天河少有,27.2万,,2021/12/17,毛毛美食指南,www.bilibili.com/video/BV1fR4y1p7Bk?from=search
大厨分享一道粤菜经典“干炒牛河”，被誉为最考厨师功夫的一道菜,70.4万,,2019/5/27,主厨农国栋,www.bilibili.com/video/BV1K4411s7qn?from=search
【粤菜】八大菜系你中意哪个,4298,,2021/10/2,粤菜介绍,www.bilibili.com/video/BV1CP4y1b7xu?from=search
久违的高质量传统粤菜，花都这家粤菜馆吃到了对正统粤菜精髓的坚持，出品用心意犹未尽,26.9万,,2021/11/9,毛毛美食指南,www.bilibili.com/video/BV1sb4y187jH?from=search
【大师的菜·脆皮烧鸡】广东脆皮烧鸡征服万千食客，三步腌制缺一不可，粤菜名厨教你做！,24.5万,,2019/6/21,大师的菜,www.bilibili.com/video/BV1Y441137iS?from=search
广东名菜《啫啫煲》新东方教不了粤菜的原因，根本没有这等魄力,4.9万,,2021/11/15,宇宙在手命不由天,www.bilibili.com/video/BV1wL4y1i7y6?from=search
大厨分享广东经典粤菜“生炒菜心”家常炒制教程，饭桌怎能少了它,21.3万,,2019/5/29,主厨农国栋,www.bilibili.com/video/BV1t4411W7Hw?from=search
别说00后了，90后都没几个人吃过这道怀旧粤菜！,15.5万,,2022/11/18,厨师徐嘉乐,www.bilibili.com/video/BV1Sd4y1b71L?from=search
广东人因为太穷了，所以导致粤菜上不了国宴！,30.5万,,2023/4/14,肥总驾到,www.bilibili.com/video/BV1ok4y1Y7Sx?from=search
"粤菜经典的豆豉鲮鱼油麦菜,好下饭啊！",29.9万,,2022/11/16,开饭啦小志,www.bilibili.com/video/BV1mt4y1N7Dc?from=search
